sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Adygei:247_R02C01,0.108132,0.094444,-0.021873,-0.00969,-0.034468,0.000837,0.015276,-0.005769,-0.04704,-0.021868,0,0.010641,-0.022299,0.008945,0.008415,-0.021347,0.001173,-0.004814,-0.014078,0.014257,0.013351,0.001113,-0.001849,-0.009037,0.000479
Adygei:247_R02C02,0.1161,0.105615,-0.032055,-0.014535,-0.039392,-0.00502,0.0047,-0.005077,-0.052563,-0.032438,0.003248,0.009591,-0.018731,0.00055,0.002172,-0.005569,0.020079,-0.004561,-0.008673,0.028889,0.003868,-0.001237,0.008011,-0.008917,-0.009101
Adygei:261_R01C01,0.119514,0.110693,-0.032432,-0.025517,-0.038776,-0.006136,0.00705,-0.003231,-0.062584,-0.030798,0.002436,0.00015,-0.021407,0.003716,0.004072,-0.010607,0.016168,-0.007348,-0.00729,0.024887,0.012728,-0.00643,-0.003328,-0.008796,-0.005987
Adygei:261_R01C02,0.113823,0.106631,-0.036581,-0.015504,-0.030775,-0.000279,0.01081,-0.007154,-0.052563,-0.023144,0.005196,0.008093,-0.022894,-0.001101,0.007329,-0.015911,0.009648,-0.006461,-0.013701,0.014382,0.016097,0.001607,0.001972,-0.011447,-0.009819
Adygei:261_R02C01,0.113823,0.107646,-0.029415,-0.020672,-0.03693,0.002231,0.002115,-0.005769,-0.044791,-0.02278,-0.001461,0.009442,-0.017096,0.012386,0.0057,-0.028772,-0.006128,-0.005574,-0.014581,0.018259,0.003244,0.002226,0.002095,-0.012893,-0.003233
Adygei:262_R01C01,0.111547,0.113739,-0.036204,-0.016796,-0.030775,-0.00502,0.012926,0.001615,-0.052563,-0.03098,0.002761,0.009891,-0.026462,0.005505,0.011943,-0.027048,-0.000782,-0.001647,-0.010559,0.016508,0.02009,0.006554,0.001109,0.001566,-0.001676
Adygei:262_R01C02,0.108132,0.102568,-0.024513,-0.020026,-0.030467,0.000558,0.009635,-0.001615,-0.048677,-0.016583,-0.00065,0.007343,-0.019921,0.008395,0.008143,-0.016706,0.010691,-0.000507,-0.01345,0.022136,0.006738,0.004946,0.005053,-0.005422,0.002754
Adygei:262_R02C01,0.111547,0.084289,-0.024513,-0.023579,-0.029236,-0.004462,0.011281,0,-0.056653,-0.019499,-0.006171,0.006145,-0.015461,0.000688,-0.003529,-0.003315,0.022165,-0.009882,-0.01169,0.019384,0.006364,-0.004328,0.005546,-0.005663,-0.000479
Aeta:GS000035250,-0.021626,-0.321923,-0.098428,0.041667,0.099095,-0.01004,0.002585,-0.011076,0.008385,0.003645,0.04011,3e-04,-0.005946,0.000413,0.004207,-0.001591,0.005085,0.004434,-0.002011,0.006003,0.003494,-0.016322,-0.007025,-0.007832,-0.059396
Aeta:GS000035257,-0.011382,-0.344264,-0.086361,0.024871,0.109251,-0.003068,0.002115,-0.016845,0.001023,-0.000729,0.044819,0.003597,-0.008474,0.003303,0.005157,0.001724,0.012256,0.009882,0.003771,0.000375,0.003244,-0.019537,-0.005053,-0.007109,-0.049337
Afrikaner:AFR001,0.10927,0.127957,0.043746,0.033592,0.041238,0.010598,0.00188,0.004846,0.005318,0.006014,-0.004222,0.002847,-0.007433,-0.018304,0.013572,0.017369,0.011995,0.002027,0.00352,0.006378,0.003119,0.001484,0.003697,0.010604,0.002634
Afrikaner:AFR002,0.111547,0.119832,0.056568,0.046512,0.038776,0.021475,0.003995,0.000923,0.005318,0.003827,-0.001299,0.000899,-0.005946,-0.013625,0.011129,0.002121,-0.00352,0.001774,-0.005028,0.004502,-0.001622,0.001731,0.002835,0.00735,0.006466
Afrikaner:AFR014,0.112685,0.12491,0.051666,0.03876,0.035083,0.014781,0.00564,0.002077,0.009204,0.008565,-0.004384,0.002398,-0.007582,-0.003441,0.014658,-0.005569,-0.011604,0.006081,0.004777,-0.000125,0.008235,-0.001113,0.001232,0.008435,0.000599
Afrikaner:AFR018,0.119514,0.137096,0.05242,0.037145,0.035391,0.01255,0.007755,0.010384,0.006136,0.005649,-0.003085,0.009292,-0.011447,-0.00867,0.014794,0.001193,0.001565,-0.00076,-0.003645,0.008004,0.002121,0.000495,-0.00037,0.013375,-0.003233
Afrikaner:AFR019,0.124067,0.132019,0.049403,0.027778,0.034776,0.014223,-0.001175,0.001846,0.003272,0.002551,-0.009256,0.001199,-0.004608,-0.013487,0.009908,0.010209,0.014081,0.002407,-0.001508,0.006628,0.003993,-0.001113,0.003328,0.005904,-0.006227
Afrikaner:AFR021,0.122929,0.12491,0.058454,0.042636,0.03416,0.017849,0.00094,0.011307,0.007976,0.004738,-0.006333,0.002398,-0.000297,-0.004542,0.012351,0.002519,-0.008996,0.004687,-0.00088,0.002001,0.003494,0.00643,0.007272,0.011568,0.005987
Afrikaner:AFR022,0.110408,0.129988,0.050911,0.041667,0.030775,0.010877,0.003995,0.008538,0.009613,0.003098,-0.00747,0.005395,-0.007136,0,0.021444,-0.005569,-0.02021,0.003674,0.001885,0.002626,0.002121,0.000247,-0.000616,0.014219,0.005987
Afrikaner:AFR024,0.111547,0.132019,0.061848,0.042636,0.038776,0.021475,0.00799,0.011538,0.006749,-0.000364,-0.004872,0.002997,-0.009514,-0.009083,0.014522,0.01485,0.011865,0.004181,-0.002011,0.013757,0.003619,0.002102,-0.00037,0.012652,-0.008382
